[INFO] music_player_setup.cpp:3706 main() Starting application
[INFO] music_player_setup.cpp:3212 init_db() Database initialized successfully.
[INFO] music_player_setup.cpp:63 loadConfig() Loading config
[INFO] music_player_setup.cpp:74 loadConfig() Config loaded
[INFO] music_player_setup.cpp:3091 refresh_list() Refreshing list
[DEBUG] music_player_setup.cpp:3096 refresh_list() Starting refresh_list for Samba path: smb://192.168.188.41/media/musica
[DEBUG] music_player_setup.cpp:1587 on_update_position() on_update_position called. Pipeline state: 1
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Varie 2007                          D        0  Wed Mar  4 16:06:48 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Francesco Guccini                   D        0  Wed Mar  4 15:56:52 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Laura Pausini                       D        0  Wed Mar  4 15:59:50 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Ini Kamoze                          D        0  Wed Mar  4 15:57:07 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Snow Patrol                         D        0  Wed Mar  4 16:04:34 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   La Esquina                          D        0  Wed Mar  4 15:58:52 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Tears for Fears                     D        0  Wed Mar  4 16:04:43 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Fallout Boy                         D        0  Wed Mar  4 15:55:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Ligabue-Giro.Del.Mondo.2015         D        0  Wed Mar  4 16:00:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Oingo Boingo                        D        0  Wed Mar  4 16:03:03 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   The Mcguire Sisters                 D        0  Thu Dec 25 06:43:52 2025
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Gary Low                            D        0  Wed Mar  4 15:56:53 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   2024                                D        0  Wed Mar  4 15:48:16 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Madonna                             D        0  Wed Mar  4 16:02:11 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Elisa                               D        0  Wed Mar  4 15:55:53 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Randy Edelman                       D        0  Wed Mar  4 16:03:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Kool and the gang                   D        0  Wed Mar  4 15:58:52 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Michael Andrews & Gary Jules        D        0  Wed Mar  4 16:02:16 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Stanley Clarke                      D        0  Wed Mar  4 16:04:36 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Sam Bauer & Gerard Bauer            D        0  Wed Mar  4 16:04:07 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Neil Young                          D        0  Wed Mar  4 16:03:01 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Skrillex                            D        0  Wed Mar  4 16:04:32 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Willy Chirino                       D        0  Wed Mar  4 16:06:58 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Keith Jarrett                       D        0  Wed Mar  4 15:58:49 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Ub 40                               D        0  Wed Mar  4 16:04:49 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   FEDEZ                               D        0  Wed Mar  4 15:56:05 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Scott henderson - tore down house (1997)      D        0  Wed Mar  4 16:04:27 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   John Denver                         D        0  Thu Mar  5 07:54:55 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Eugenio Finardi                     D        0  Wed Mar  4 15:55:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Ray Charles                         D        0  Wed Mar  4 16:03:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Eurythmics                          D        0  Wed Mar  4 15:55:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Rosemary Clooney                    D        0  Wed Mar  4 16:04:07 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Biagio Antonacci                    D        0  Wed Mar  4 15:52:18 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Michael Andrews                     D        0  Wed Mar  4 16:02:15 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Edoardo Bennato                     D        0  Wed Mar  4 15:55:34 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   itunes                              D        0  Wed Mar  4 15:57:11 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Gemitaiz & MadMan - Scatola Nera      D        0  Wed Mar  4 15:56:55 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Balli di gruppo                     D        0  Wed Mar  4 15:52:10 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Vasco Rossi                         D        0  Wed Mar  4 16:06:48 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Zucchero                            D        0  Wed Mar  4 16:06:59 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Take That                           D        0  Wed Mar  4 16:04:37 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Katy Perry                          D        0  Wed Mar  4 15:58:47 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Peter Andre                         D        0  Wed Mar  4 16:03:06 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   The Connels                         D        0  Wed Mar  4 16:04:43 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Alice                               D        0  Wed Mar  4 15:48:44 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Pierangelo Bertoli - Discografia Completa (1974-2007)      D        0  Sat Jul 26 08:38:30 2025
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   MUSIC                               D        0  Wed Mar  4 16:02:49 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Dire Straits                        D        0  Wed Mar  4 15:53:55 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   2015                                D        0  Wed Mar  4 15:47:56 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Gemitaiz-Davide-2018                D        0  Wed Mar  4 15:56:56 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Spandau Ballet                      D        0  Wed Mar  4 16:04:34 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Extreme                             D        0  Wed Mar  4 15:55:57 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Zerb                                D        0  Thu Mar  5 18:04:38 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Marracash - Persona (2019)          D        0  Wed Mar  4 16:02:15 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Meredith Brooks                     D        0  Wed Mar  4 16:02:15 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Manu Chao                           D        0  Wed Mar  4 16:02:13 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Simply Red                          D        0  Wed Mar  4 16:04:28 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Colonne sonore                      D        0  Wed Mar  4 15:53:40 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Tonino Carotone                     D        0  Wed Mar  4 16:04:48 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Keith Jarrett Trio                  D        0  Wed Mar  4 15:58:50 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   anni 80                             D        0  Wed Mar  4 15:51:45 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   883                                 D        0  Wed Mar  4 15:46:59 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Lucio Dalla                         D        0  Wed Mar  4 16:02:06 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Spice Girls                         D        0  Wed Mar  4 16:04:34 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Radio                               D        0  Wed Mar 11 18:59:54 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Nicola Conte                        D        0  Wed Mar  4 16:03:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Cesare Cremonini                    D        0  Wed Mar  4 15:52:21 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Cher                                D        0  Wed Mar  4 15:52:23 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Giulio Caccini & Paul Pritchar      D        0  Wed Mar  4 15:57:04 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   2018                                D        0  Wed Mar  4 15:48:04 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Oasis                               D        0  Wed Mar  4 16:03:03 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Francesco De Gregori                D        0  Wed Mar  4 15:56:07 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Michael Buble                       D        0  Wed Mar  4 16:02:19 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Lady Gaga                           D        0  Wed Mar  4 15:58:54 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Fink                                D        0  Wed Mar  4 15:56:06 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   New Stories                         D        0  Wed Mar  4 16:03:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Hairspray                           D        0  Wed Mar  4 15:57:05 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Lio                                 D        0  Wed Mar  4 16:00:02 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Spin Doctors                        D        0  Wed Mar  4 16:04:34 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Razorlight                          D        0  Wed Mar  4 16:03:59 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Adriano Celentano                   D        0  Wed Mar  4 15:48:34 2026
[DEBUG] music_player_setup.cpp:3111 operator()() Parsing SMB line:   Natale                              D        0  Wed Mar  4 16:02:57 2026
